
[2023-01-19T16:28:28.104] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:28:33.458] [WARN] warnArchive - Estado: 404, Ruta consultada: /prueba, Metodo GET
[2023-01-19T16:28:44.380] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:28:51.420] [WARN] warnArchive - Estado: 404, Ruta consultada: /prueba, Metodo GET
[2023-01-19T16:36:18.292] [WARN] warnArchive - Estado: 404, Ruta consultada: /prueba, Metodo GET
[2023-01-19T16:36:22.908] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:36:29.767] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:39:06.888] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:39:09.464] [WARN] warnArchive - Estado: 404, Ruta consultada: /prueba, Metodo GET
[2023-01-19T16:39:48.005] [WARN] warnArchive - Estado: 404, Ruta consultada: /prueba, Metodo GET
[2023-01-19T16:40:13.296] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:40:59.673] [WARN] warnArchive - Estado: 404, Ruta consultada: /productos, Metodo GET
[2023-01-19T16:41:08.512] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:47:16.296] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:47:20.175] [WARN] warnArchive - Estado: 404, Ruta consultada: /prueba, Metodo GET
[2023-01-19T16:47:22.998] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:48:05.829] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-19T16:48:17.052] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:50:07.078] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:50:11.607] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:50:37.062] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:51:17.422] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:51:23.630] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:53:42.997] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-01-19T16:59:06.210] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/carrito/addProduct, Metodo POST
[2023-01-19T17:34:04.845] [WARN] warnArchive - Estado: 404, Ruta consultada: /profile, Metodo GET
[2023-01-19T17:34:30.937] [WARN] warnArchive - Estado: 404, Ruta consultada: /profile, Metodo GET
[2023-01-19T17:41:28.575] [WARN] warnArchive - Estado: 404, Ruta consultada: /profile, Metodo GET
[2023-01-19T18:35:51.335] [WARN] warnArchive - Estado: 404, Ruta consultada: /profile, Metodo GET
[2023-01-19T18:43:16.818] [WARN] warnArchive - Estado: 404, Ruta consultada: /profile, Metodo GET
[2023-01-19T18:44:14.526] [WARN] warnArchive - Estado: 404, Ruta consultada: /productos, Metodo GET
[2023-01-19T18:44:19.996] [WARN] warnArchive - Estado: 404, Ruta consultada: /productos, Metodo GET
[2023-01-19T18:44:25.772] [WARN] warnArchive - Estado: 404, Ruta consultada: /productos, Metodo GET
[2023-01-19T18:44:43.553] [WARN] warnArchive - Estado: 404, Ruta consultada: /productos, Metodo GET
[2023-01-19T18:44:55.698] [WARN] warnArchive - Estado: 404, Ruta consultada: /productos, Metodo GET
[2023-01-19T18:45:01.510] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/carrito, Metodo GET
[2023-01-19T18:45:03.923] [WARN] warnArchive - Estado: 404, Ruta consultada: /profile, Metodo GET
[2023-01-19T18:46:07.110] [WARN] warnArchive - Estado: 404, Ruta consultada: /productos, Metodo GET
[2023-01-19T18:46:31.749] [WARN] warnArchive - Estado: 404, Ruta consultada: /formProductos.js, Metodo GET
[2023-01-19T18:46:37.745] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1672625908293-hermione.png, Metodo GET
[2023-01-19T18:46:45.983] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/carrito, Metodo GET
[2023-01-19T18:47:02.173] [WARN] warnArchive - Estado: 404, Ruta consultada: /chat.css, Metodo GET
